Number of Teams,Recharge Rate,Game ID,Laser Damage,Special Damage,Map,Game Mode,Date,Player Count,Referee
2,Very High,36,High,High,Stronghold2.0,Normal,2013-01-09 23:22:00,10,cyro
,,37,,,,,,,
2,High,38,High,Normal,Entice_0.5,Normal,2013-01-09 23:25:00,8,cyro
2,Very High,39,High,High,Hectic5.0,Normal,2013-01-09 23:28:00,8,cyro
2,Very High,40,Normal,Normal,lnsight,Normal,2013-01-09 23:30:00,7,cyro
2,High,41,Normal,Normal,Crowded,Normal,2013-01-09 23:32:00,8,cyro
2,Very High,42,High,High,Hectic5.0,Normal,2013-01-09 23:33:00,8,cyro
2,High,43,Normal,Normal,Crowded,Normal,2013-01-09 23:34:00,7,cyro
2,Very High,44,Normal,Normal,lnsight,Normal,2013-01-09 23:36:00,8,cyro
2,Very High,45,High,Normal,SmearUltimate,Normal,2013-01-09 23:37:00,8,cyro
2,Very High,46,High,High,Stronghold2.0,Normal,2013-01-09 23:39:00,13,cyro
2,High,47,Normal,Normal,Crowded,Normal,2013-01-09 23:40:00,6,cyro
2,High,48,High,Normal,Entice_0.5,Normal,2013-01-09 23:41:00,8,cyro
,,49,,,,,,,
,,50,,,,,,,
,,51,,,,,,,
,,52,,,,,,,
,,53,,,,,,,
2,Very High,54,Normal,Normal,NinjaWarz,Assassin,2013-01-13 23:26:00,8,cyro
,,55,,,,,,,
,,56,,,,,,,
,,57,,,,,,,
2,Very High,58,High,High,Waffles,Assassin,2013-01-14 01:48:00,10,cyro
,,59,,,,,,,
2,Very High,60,High,Normal,Trenches,Normal,2013-01-14 01:51:00,8,cyro
2,Very High,61,Normal,Normal,Motive.0.1,Domination,2013-01-14 01:52:00,12,cyro
2,High,62,Normal,Normal,Crowded,Normal,2013-01-14 01:54:00,8,cyro
,,63,,,,,,,
,,64,,,,,,,
2,Very High,65,High,High,Hectic5.0,Normal,2013-01-14 01:57:00,8,cyro
,,66,,,,,,,
2,Very High,67,High,High,Hectic5.0,Normal,2013-01-14 02:00:00,8,cyro
2,High,68,Normal,Normal,Crowded,Normal,2013-01-14 20:42:00,8,cyro
2,High,69,High,Normal,Entice_0.5,Normal,2013-01-14 21:44:00,10,southpaw
2,High,70,Normal,Normal,Carlisle.0.3,Normal,2013-01-14 22:23:00,10,southpaw
2,Very High,71,High,High,Hectic5.0,Normal,2013-01-14 22:59:00,10,southpaw
2,Very High,72,High,Normal,SmearUltimate,Normal,2013-01-15 20:08:00,8,southpaw
2,High,73,Normal,Normal,aOe.clan.HQ,Normal,2013-01-15 20:09:00,10,southpaw
2,Very High,74,High,High,Hectic5.0,Normal,2013-01-15 20:10:00,8,southpaw
2,Very High,75,Normal,Normal,koth.0.9b(250),Domination,2013-01-15 20:51:00,10,southpaw
2,Very High,76,Normal,Normal,CrossOver.0.1,Normal,2013-01-16 22:52:00,8,southpaw
2,Very High,77,High,High,Hectic5.0,Normal,2013-01-16 23:38:00,8,Dario
2,High,78,Normal,Normal,Crowded,Normal,2013-01-20 21:34:00,6,cyro
2,Very High,79,High,High,Hectic5.0,Normal,2013-01-21 21:04:00,12,cyro
2,Very High,80,High,Normal,BaitandSwitch-XL,Normal,2013-01-21 21:51:00,12,cyro
2,Very High,81,High,Normal,Trenches,Normal,2013-01-21 22:40:00,14,Dario
2,Normal,82,Normal,Normal,SGLGO2011,Normal,2013-01-23 22:16:00,10,southpaw
2,Normal,83,Normal,Normal,ACGO2013,Normal,2013-01-23 22:17:00,8,southpaw
2,Very High,84,Normal,Normal,aOeMiNi,Normal,2013-01-23 22:18:00,6,southpaw
2,Very High,85,High,High,Hectic5.0,Normal,2013-01-23 22:20:00,8,Dario
2,High,86,Normal,Normal,BendyStraws,Normal,2013-01-23 23:14:00,10,Dario
2,Very High,87,High,High,Hectic5.0,Normal,2013-01-24 23:40:00,10,southpaw
2,Very High,88,High,High,RaxCityBitch,Normal,2013-01-25 20:44:00,8,cyro
2,High,89,High,Normal,Entice_0.5,Normal,2013-01-25 21:32:00,8,cyro
2,Very High,90,High,High,Take-and-Hold,Normal,2013-01-27 21:19:00,10,cyro
2,Very High,91,Normal,Normal,Hop-Scotch,Assassin,2013-01-27 22:12:00,14,cyro
2,Very High,92,High,High,Stronghold2.0,Normal,2013-01-27 22:52:00,10,cyro
2,Very High,93,High,Normal,grinder3,Normal,2013-01-27 23:22:00,10,cyro
2,Very High,94,High,High,Hectic5.0,Normal,2013-01-28 21:11:00,8,cyro
2,Very High,95,High,High,Hectic5.0,Normal,2013-01-31 19:58:00,8,southpaw
2,Very High,96,Normal,Normal,JellyFishing2k12,Domination,2013-01-31 19:59:00,6,southpaw
,,97,,,,,,,
,,98,,,,,,,
2,Very High,99,High,High,GoodCompany,Normal,2013-01-31 20:05:00,8,cyro
2,Very High,100,Normal,Normal,Clusterd1.3,Assassin,2013-01-31 20:52:00,10,cyro
,Very High,101,High,Normal,SmearUltimate,Normal,2013-01-31 21:30:00,10,cyro
2,Very High,102,High,Normal,grinder3,Normal,2013-01-31 22:09:00,10,cyro
2,Very High,103,High,High,Hectic5.0,Normal,2013-01-31 22:44:00,6,southpaw
2,Very High,104,Normal,Normal,koth.0.9b(250),Domination,2013-02-01 19:45:00,11,southpaw
2,Very High,105,High,High,Hectic5.0,Normal,2013-02-01 19:47:00,8,southpaw
2,High,106,High,Normal,Entice_0.5,Normal,2013-02-01 22:18:00,8,cyro
2,Very High,107,High,Normal,ZODIAC,Domination,2013-02-01 23:03:00,8,cyro
2,Very High,108,Normal,Normal,lnsight,Normal,2013-02-02 21:37:00,10,cyro
2,Very High,109,High,High,Stronghold2.0,Normal,2013-02-02 22:16:00,12,southpaw
2,Very High,110,Normal,Normal,Money-Regen,Assassin,2013-02-02 22:55:00,12,southpaw
2,Very High,111,Normal,Normal,koth.0.9b(250),Domination,2013-02-02 23:36:00,14,southpaw
,,112,,,,,,,
2,Very High,113,High,Normal,grinder3,Normal,2013-02-03 23:01:00,10,cyro
2,Very High,114,High,High,Hectic5.0,Normal,2013-02-03 23:46:00,8,cyro
2,Very High,115,High,High,Hectic5.0,Normal,2013-02-04 22:43:00,10,southpaw
2,Very High,116,Normal,Normal,OneFlagV5.2,Normal,2013-02-04 22:44:00,10,southpaw
2,Very High,117,Normal,Normal,koth.0.9b(250),Domination,2013-02-04 22:45:00,12,southpaw
2,Very High,118,Normal,Normal,Motive.0.1,Domination,2013-02-04 22:46:00,12,southpaw
2,High,119,Normal,Normal,Frisky,Normal,2013-02-04 22:47:00,12,southpaw
2,High,120,Normal,Normal,Crowded,Normal,2013-02-06 19:35:00,6,cyro
2,Very High,121,Normal,Normal,OneFlagV5.2,Normal,2013-02-07 22:21:00,6,southpaw
2,Very High,122,High,High,Hectic5.0,Normal,2013-02-07 22:24:00,8,southpaw
2,Very High,123,High,High,Hectic5.0,Normal,2013-02-08 21:44:00,8,southpaw
2,High,124,Normal,Normal,Insight,Normal,2013-02-08 22:16:00,8,cyro
2,High,125,High,Normal,Entice_0.5,Normal,2013-02-08 22:56:00,10,cyro
2,High,126,Normal,Normal,Crowded,Normal,2013-02-08 23:29:00,8,cyro
2,Very High,127,Normal,Normal,Money-Regen,Assassin,2013-02-09 00:08:00,12,cyro
2,Very High,128,High,Normal,ZODIAC,Domination,2013-02-09 00:34:00,10,cyro
2,Very High,129,High,Normal,SmearUltimate,Normal,2013-02-09 01:33:00,8,cyro
2,Very High,130,High,High,Take-and-Hold,Normal,2013-02-09 23:56:00,9,cyro
2,Very High,131,High,High,Hectic5.0,Normal,2013-02-10 01:15:00,6,cyro
2,Very High,132,Normal,Normal,lnsight,Normal,2013-02-10 18:00:00,8,cyro
2,Very High,133,High,High,Hectic5.0,Normal,2013-02-10 18:36:00,10,cyro
2,Very High,134,Normal,Normal,koth.0.9b(250),Domination,2013-02-10 19:29:00,18,cyro
,,135,,,,,,,
2,Very High,136,High,Normal,SmearUltimate,Normal,2013-02-10 20:09:00,14,cyro
2,Normal,137,Normal,Normal,testmap002,Normal,2013-02-10 20:52:00,8,cyro
2,Very High,138,Normal,Normal,NinjaWarz,Assassin,2013-02-10 21:56:00,14,cyro
2,Very High,139,High,Normal,SmearUltimate,Normal,2013-02-10 22:36:00,14,Dario
2,Very High,140,High,High,Hectic5.0,Normal,2013-02-10 23:51:00,12,Dario
2,Normal,141,Normal,Normal,SEL2012,Normal,2013-02-11 00:30:00,8,bot
2,Very High,142,Normal,Normal,Money-Regen,Assassin,2013-02-11 01:07:00,10,bot
2,High,143,High,Normal,Entice_0.5(Assassin),Assassin,2013-02-11 01:38:00,8,bot
2,Normal,144,Normal,Normal,testmap002,Normal,2013-02-11 19:22:00,8,cyro
2,Very High,145,High,Normal,ZODIAC,Domination,2013-02-11 19:23:00,9,cyro
2,Very High,146,Normal,Normal,OneFlagV5.2,Normal,2013-02-11 20:12:00,8,southpaw
2,High,147,Normal,Normal,Plunders.0.1,Normal,2013-02-11 20:52:00,10,southpaw
2,Normal,148,Normal,Normal,smallflag,Normal,2013-02-11 21:44:00,8,southpaw
,,149,,,,,,,
2,Very High,150,High,Normal,SmearUltimate,Normal,2013-02-11 23:47:00,18,bot
2,Very High,151,High,Normal,Trenches-XL,Normal,2013-02-12 00:18:00,16,bot
2,Very High,152,Normal,Normal,Money-Regen,Assassin,2013-02-12 00:55:00,16,bot
2,Very High,153,High,High,Hectic5.0,Normal,2013-02-12 01:13:00,10,bot
2,Normal,154,Normal,Normal,BFD,Normal,2013-02-12 01:43:00,8,Dario
2,Normal,155,Normal,Normal,BFD,Normal,2013-02-12 20:52:00,6,Dario
2,High,156,High,Normal,Entice_0.5(Assassin),Assassin,2013-02-12 21:30:00,8,Dario
2,Very High,157,High,High,Take-and-Hold,Normal,2013-02-12 22:07:00,8,Dario
2,Very High,158,High,High,Hectic5.0,Normal,2013-02-12 23:08:00,10,Dario
2,Very High,159,Normal,Normal,Nutens.0.1,Domination,2013-02-12 23:39:00,14,Dario
2,Very High,160,High,Normal,grinder3,Normal,2013-02-13 23:14:00,14,cyro
2,High,161,Normal,Normal,BendyStraws,Normal,2013-02-14 00:00:00,12,cyro
2,High,162,Normal,Normal,Fister,Normal,2013-02-14 00:38:00,8,bot
2,High,163,High,Normal,Entice_0.5,Normal,2013-02-14 01:23:00,6,bot
2,Very High,164,High,High,GoodCompany,Normal,2013-02-14 22:02:00,8,cyro
2,Very High,165,Normal,Normal,Nutens.0.1,Domination,2013-02-14 23:08:00,16,cyro
2,High,166,High,Normal,Entice_0.5(Assassin),Assassin,2013-02-14 23:46:00,10,cyro
2,Normal,167,Normal,Normal,BFD,Normal,2013-02-16 21:31:00,8,cyro
2,Very High,168,High,High,Hectic5.0,Normal,2013-02-16 21:55:00,6,cyro
2,High,169,High,Normal,Entice_0.5,Normal,2013-02-16 22:34:00,10,cyro
2,Very High,170,High,Normal,ZODIAC,Domination,2013-02-16 23:10:00,10,cyro
2,Very High,171,High,High,Hectic5.0,Normal,2013-02-17 13:07:00,12,cyro
2,High,172,Normal,Normal,Crowded,Normal,2013-02-17 18:40:00,8,cyro
2,Normal,173,Normal,Normal,BFD,Normal,2013-02-17 19:08:00,13,Dario
2,Normal,174,Normal,Normal,bubblek2,Normal,2013-02-17 20:56:00,8,20LbGenitals
2,Normal,175,Normal,Normal,challenge_v3,Normal,2013-02-17 22:46:00,10,cyro
2,Very High,176,High,High,Hectic5.0,Normal,2013-02-17 23:33:00,12,southpaw
2,Very High,177,Normal,Normal,koth.0.9b(250),Domination,2013-02-18 00:19:00,13,southpaw
,,178,,,,,,,
2,Very High,179,High,Normal,SmearUltimate,Normal,2013-02-18 00:59:00,12,southpaw
2,Very High,180,High,Normal,grinder3,Normal,2013-02-18 01:36:00,8,Dario
2,Normal,181,Normal,Normal,BFD,Normal,2013-02-18 19:48:00,8,Dario
2,Very High,182,Normal,Normal,koth.0.9b(250),Domination,2013-02-18 21:01:00,14,20LbGenitals
,,183,,,,,,,
2,Very High,184,High,Normal,BaitandSwitch-XL,Normal,2013-02-18 22:34:00,12,20LbGenitals
,,185,,,,,,,
2,Very High,186,High,Normal,SmearUltimate,Normal,2013-02-18 23:04:00,14,southpaw
2,High,187,Normal,Normal,GGv3,Normal,2013-02-18 23:37:00,12,southpaw
2,Normal,188,Normal,Normal,SEL2012,Normal,2013-02-18 23:42:00,14,20LbGenitals
2,Very High,189,High,Normal,Trenches-XL,Normal,2013-02-19 22:20:00,18,20LbGenitals
2,Very High,190,High,Normal,BaitOrSwitch,Normal,2013-02-19 23:00:00,13,20LbGenitals
2,Very High,191,Normal,Normal,Nutens.0.1,Domination,2013-02-19 23:39:00,14,20LbGenitals
2,Very High,192,Normal,Normal,Ninja-Gucci,Assassin,2013-02-20 00:22:00,12,20LbGenitals
2,Very High,193,High,High,Hectic5.0,Normal,2013-02-20 00:59:00,10,20LbGenitals
2,High,194,High,Normal,Entice_0.5,Normal,2013-02-21 17:08:00,10,20LbGenitals
2,Very High,195,Normal,Normal,OneFlagV5.2,Normal,2013-02-21 17:45:00,8,20LbGenitals
2,Very High,196,High,High,Hectic5.0,Normal,2013-02-21 18:25:00,12,southpaw
2,High,197,Normal,Normal,Insight,Normal,2013-02-21 20:15:00,6,bot
2,Normal,198,Normal,Normal,BFD,Normal,2013-02-21 22:37:00,10,Dario
2,High,199,Normal,Normal,GG_remix,Normal,2013-02-21 23:34:00,14,20LbGenitals
2,High,200,High,Normal,Entice_0.5,Normal,2013-02-22 00:07:00,8,20LbGenitals
,,201,,,,,,,
2,Very High,202,Normal,Normal,lnsight,Normal,2013-02-22 19:52:00,8,cyro
,,203,,,,,,,
2,High,204,High,Normal,Entice_0.5(Assassin),Assassin,2013-02-22 21:19:00,8,cyro
2,Very High,205,High,High,GoodCompany,Normal,2013-02-22 21:53:00,12,cyro
2,Very High,206,High,High,Stronghold2.0,Normal,2013-02-22 22:38:00,12,cyro
2,Very High,207,High,High,Waffles,Assassin,2013-02-22 23:16:00,12,cyro
2,High,208,Normal,Normal,Fister,Normal,2013-02-23 15:23:00,6,southpaw
2,Very High,209,High,High,Hectic5.0,Normal,2013-02-23 16:05:00,10,southpaw
2,High,210,Normal,Normal,Plunders.0.1,Normal,2013-02-23 17:12:00,8,southpaw
2,Very High,211,High,Normal,Trenches-XL,Normal,2013-02-23 18:00:00,12,southpaw
2,Very High,212,High,Normal,SmearUltimate,Normal,2013-02-23 18:40:00,12,southpaw
1,Very High,213,Normal,Normal,FFDeath-O-Matic,Normal,2013-02-23 19:15:00,13,southpaw
2,Very High,214,High,High,Stronghold2.0,Normal,2013-02-23 20:01:00,14,southpaw
2,Very High,215,Normal,Normal,Money-Regen,Assassin,2013-02-23 21:11:00,12,20LbGenitals
2,Very High,216,Normal,Normal,koth.0.9b(250),Domination,2013-02-23 21:49:00,12,20LbGenitals
2,Normal,217,Normal,Normal,bubblek2,Normal,2013-02-23 22:33:00,12,20LbGenitals
2,High,218,Normal,Normal,Insight,Normal,2013-02-23 23:12:00,8,20LbGenitals
2,Very High,219,High,Normal,grinder3,Normal,2013-02-23 23:51:00,12,20LbGenitals
2,High,220,High,Normal,Entice_0.5(Assassin),Assassin,2013-02-24 00:21:00,8,20LbGenitals
2,Very High,221,High,High,Take-and-Hold,Normal,2013-02-24 00:55:00,8,20LbGenitals
2,High,222,Normal,Normal,Insight,Normal,2013-02-24 13:38:00,8,20LbGenitals
2,High,223,Normal,Normal,Enjoyment5.02,Normal,2013-02-24 13:42:00,6,20LbGenitals
2,High,224,Normal,Normal,GGv3,Normal,2013-02-24 14:20:00,10,20LbGenitals
2,Very High,225,High,High,Hectic5.0,Normal,2013-02-24 14:59:00,12,20LbGenitals
2,Very High,226,High,High,Waffles,Assassin,2013-02-24 17:09:00,14,20LbGenitals
2,Very High,227,High,Normal,Trenches-XL,Normal,2013-02-24 17:48:00,14,20LbGenitals
2,Very High,228,Normal,Normal,koth.0.9b(250),Domination,2013-02-24 18:36:00,12,20LbGenitals
2,Very High,229,High,Normal,SmearUltimate,Normal,2013-02-24 19:21:00,12,20LbGenitals
2,High,230,Normal,Normal,Frisky,Normal,2013-02-24 20:00:00,8,20LbGenitals
2,High,231,High,Normal,Entice_0.5,Normal,2013-02-24 20:41:00,10,20LbGenitals
2,Very High,232,Normal,High,Squares2Team,Assassin,2013-02-24 21:30:00,14,20LbGenitals
2,High,233,Normal,Normal,Fister,Normal,2013-02-24 22:11:00,4,southpaw
2,Very High,234,High,High,Hectic5.0,Normal,2013-02-24 22:52:00,12,southpaw
2,Normal,235,Normal,Normal,BFD,Normal,2013-02-25 16:47:00,10,20LbGenitals
2,Very High,236,High,High,Take-and-Hold,Normal,2013-02-25 17:27:00,6,20LbGenitals
2,High,237,High,Normal,Entice_0.5,Normal,2013-02-25 18:05:00,13,20LbGenitals
2,Very High,238,Normal,Normal,Clusterd1.3,Assassin,2013-02-25 18:44:00,14,20LbGenitals
2,High,239,Normal,Normal,GG_remix,Normal,2013-02-25 19:17:00,10,20LbGenitals
2,High,240,Normal,Normal,shockNawe,Normal,2013-02-25 19:51:00,16,Dario
2,Very High,241,High,Normal,BaitandSwitch-XL,Normal,2013-02-25 20:58:00,16,cyro
2,Very High,242,Normal,Normal,koth.0.9b(250),Domination,2013-02-25 21:34:00,16,cyro
2,Very High,243,Normal,Normal,CrossOver.0.1,Normal,2013-02-25 23:01:00,10,southpaw
,,244,,,,,,,
,,245,,,,,,,
2,Very High,246,High,High,Hectic5.0,Normal,2013-02-25 23:06:00,10,cyro
1,High,247,High,High,FF-SGLGOv1,Normal,2013-02-25 23:33:00,7,Dario
2,Normal,248,Normal,Normal,Enjoyment2012,Normal,2013-02-26 14:36:00,6,20LbGenitals
2,High,249,Normal,Normal,Fister,Normal,2013-02-26 17:24:00,6,southpaw
2,Normal,250,Normal,Normal,BFD,Normal,2013-02-26 18:04:00,8,Dario
2,Very High,251,Normal,Normal,Money-Regen,Assassin,2013-02-26 18:59:00,9,southpaw
1,Very High,252,Normal,Normal,FFDeath-O-Matic,Normal,2013-02-26 19:35:00,9,southpaw
2,Very High,253,High,High,Hectic5.0,Normal,2013-02-26 20:19:00,12,southpaw
2,Normal,254,Normal,Normal,ACEM2013,Normal,2013-02-26 21:07:00,10,20LbGenitals
2,High,255,Normal,Normal,ROTNPro,Normal,2013-02-26 21:48:00,12,20LbGenitals
2,Very High,256,High,Normal,SmearUltimate,Normal,2013-02-26 22:36:00,15,Dario
2,Very High,257,Normal,Normal,koth.0.9b(250),Domination,2013-02-26 23:06:00,17,southpaw
2,Very High,258,Normal,Normal,Clusterd1.3,Assassin,2013-02-27 00:00:00,17,southpaw
2,High,259,Normal,Normal,Fister,Normal,2013-02-27 00:47:00,8,20LbGenitals
2,Normal,260,Normal,Normal,SmaIIFIag,Normal,2013-02-27 14:24:00,6,20LbGenitals
1,Very High,261,Normal,Normal,FFDeath-O-Matic,Normal,2013-02-27 15:14:00,9,20LbGenitals
2,High,262,Normal,Normal,Frisky,Normal,2013-02-27 15:59:00,12,southpaw
2,Very High,263,High,High,Hectic5.0,Normal,2013-02-27 16:50:00,12,southpaw
2,High,264,High,Normal,Entice_0.5(Assassin),Assassin,2013-02-27 18:57:00,10,cyro
2,High,265,Normal,Normal,Crowded,Normal,2013-02-27 21:37:00,6,cyro
2,Very High,266,High,Normal,BaitandSwitch,Normal,2013-02-28 16:14:00,10,20LbGenitals
2,Very High,267,High,Normal,ZODIAC,Domination,2013-02-28 16:54:00,13,20LbGenitals
2,High,268,Normal,Normal,Plunders.0.1,Normal,2013-02-28 17:34:00,10,20LbGenitals
2,High,269,Normal,Normal,Insight,Normal,2013-02-28 18:24:00,8,Dario
2,Very High,270,High,High,Stronghold2.0,Normal,2013-02-28 18:38:00,17,20LbGenitals
2,High,271,Normal,Normal,GG_remix,Normal,2013-02-28 19:10:00,18,20LbGenitals
2,Very High,272,High,High,GoodCompany,Normal,2013-02-28 19:58:00,14,20LbGenitals
2,High,273,Normal,Normal,Frisky,Normal,2013-02-28 20:41:00,13,20LbGenitals
2,Very High,274,Normal,Normal,Money-Regen,Assassin,2013-02-28 21:22:00,10,southpaw
2,High,275,Normal,Normal,ROTNPro,Normal,2013-02-28 22:18:00,9,southpaw
2,Very High,276,High,High,Hectic5.0,Normal,2013-02-28 22:50:00,8,bot
2,Very High,277,Normal,Normal,SmashBall,Normal,2013-03-01 11:59:00,6,southpaw
2,Normal,278,Normal,Normal,smallflag,Normal,2013-03-01 12:32:00,6,southpaw
2,Normal,279,Normal,Normal,SGLGO2013,Normal,2013-03-01 13:20:00,8,southpaw
2,Very High,280,Normal,Normal,Flippers,Normal,2013-03-01 14:01:00,9,southpaw
2,High,281,High,Normal,Entice_0.5,Normal,2013-03-01 14:40:00,10,southpaw
2,Very High,282,High,Normal,Speed,Normal,2013-03-01 15:17:00,8,southpaw
2,Very High,283,High,High,Hectic5.0,Normal,2013-03-01 15:49:00,8,southpaw
2,Very High,284,Normal,Normal,HoldNCarryBig,Normal,2013-03-01 16:23:00,9,southpaw
2,High,285,Normal,Normal,Fister,Normal,2013-03-01 17:05:00,14,southpaw
2,Very High,286,High,Normal,SmearUltimate,Normal,2013-03-01 17:35:00,16,southpaw
2,Very High,287,Normal,Normal,koth.0.9b(250),Domination,2013-03-01 18:04:00,16,southpaw
2,Very High,288,Normal,Normal,Clusterd1.3,Assassin,2013-03-01 18:33:00,17,southpaw
2,High,289,Normal,Normal,Plunders.0.1,Normal,2013-03-01 19:03:00,16,southpaw
1,Very High,290,Normal,Normal,FFDeath-O-Matic,Normal,2013-03-01 19:28:00,12,southpaw
2,Very High,291,Normal,Normal,aOeMiNi,Normal,2013-03-01 19:58:00,6,southpaw
2,Very High,292,High,High,Waffles,Assassin,2013-03-01 20:28:00,10,southpaw
2,High,293,Normal,Normal,Crowded,Normal,2013-03-01 21:00:00,6,southpaw
2,Very High,294,Very High,Very High,Beef3,Normal,2013-03-02 09:37:00,4,southpaw
2,High,295,Normal,Normal,Enjoyment5.02,Normal,2013-03-02 10:12:00,8,southpaw
2,Very High,296,Normal,Normal,lnsight,Normal,2013-03-02 10:46:00,11,southpaw
2,Very High,297,High,High,Hectic5.0,Normal,2013-03-02 11:14:00,10,southpaw
2,Very High,298,High,High,Heated5.0,Normal,2013-03-02 11:44:00,8,southpaw
2,Very High,299,0,0,JuggernautBallAssassin,Assassin,2013-03-02 12:20:00,10,southpaw
2,Very High,300,Normal,Normal,Flippers,Normal,2013-03-02 12:57:00,6,southpaw
2,High,301,Normal,Normal,Crowded2,Assassin,2013-03-02 13:30:00,8,southpaw
2,Very High,302,High,High,Take-and-Hold,Normal,2013-03-02 14:03:00,6,southpaw
2,Normal,303,Normal,Normal,smallflag,Normal,2013-03-02 14:46:00,10,southpaw
2,High,304,Normal,Normal,BendyStraws,Normal,2013-03-02 15:18:00,12,southpaw
2,High,305,Normal,Normal,aOe.clan.HQ,Normal,2013-03-02 15:51:00,14,southpaw
2,Very High,306,High,Normal,SmearUltimate,Normal,2013-03-02 16:24:00,12,southpaw
2,Very High,307,Normal,Normal,Nutens.0.1,Domination,2013-03-02 16:58:00,14,southpaw
2,Very High,308,Normal,Normal,Money-Regen,Assassin,2013-03-02 17:28:00,13,southpaw
2,Very High,309,High,Normal,BaitandSwitch-XL,Normal,2013-03-02 17:59:00,10,southpaw
1,Very High,310,Normal,Normal,FFDeath-O-Matic,Normal,2013-03-02 18:26:00,9,southpaw
2,Very High,311,High,Normal,Trenches-XL,Normal,2013-03-02 18:56:00,14,southpaw
2,Very High,312,High,High,Stronghold2.0,Normal,2013-03-02 19:26:00,12,southpaw
2,Normal,313,Normal,Normal,ThatsMyBeerPro,Normal,2013-03-02 19:52:00,10,southpaw
2,Normal,314,Normal,Normal,Hel-trad12,Normal,2013-03-02 20:22:00,10,southpaw
2,High,315,Normal,Normal,boardwalkswitch,Normal,2013-03-02 20:52:00,10,southpaw
2,Very High,316,High,Normal,SmearUltimate,Normal,2013-03-02 21:30:00,20,southpaw
2,Very High,317,Normal,Normal,koth.0.9b(250),Domination,2013-03-02 22:04:00,17,southpaw
2,Very High,318,Normal,Normal,Clusterd1.3,Assassin,2013-03-02 22:38:00,12,southpaw
2,High,319,Normal,Normal,Fister-Pro,Normal,2013-03-02 23:21:00,8,southpaw
2,Very High,320,High,Normal,Foursquare4,Normal,2013-03-02 23:49:00,12,southpaw
2,High,321,Normal,Normal,ROTNPro,Normal,2013-03-03 00:24:00,10,southpaw
2,Very High,322,Normal,Normal,Rogue-Assassin,Assassin,2013-03-03 00:54:00,8,southpaw
2,Very High,323,High,High,Hectic5.0,Normal,2013-03-03 01:30:00,10,cyro
,Very High,324,Normal,Normal,OneFlagV5.2,Normal,2013-03-03 02:03:00,8,southpaw
2,Very High,325,Normal,Normal,lnsight,Normal,2013-03-03 02:50:00,12,southpaw
2,High,326,Normal,Normal,shockNawe,Normal,2013-03-03 03:25:00,10,southpaw
2,Normal,327,Normal,Normal,BFD,Normal,2013-03-03 11:51:00,8,southpaw
2,High,328,High,Normal,Entice_0.5,Normal,2013-03-03 12:19:00,8,southpaw
